outcome,JMTES_n,JMTES_mean,JMTES_sd,JMTES_median,JMTES_min,JMTES_max,JES_n,JES_mean,JES_sd,JES_median,JES_min,JES_max,difference_jmtes_minus_jes
Unexcused absence %,419,5.44434367541766,4.600432862541629,4.4,0.0,45.28,676,9.008772189349113,10.074162836713432,5.88,0.0,105.88,-3.5644285139314524
Excused absence %,419,1.7890930787589499,2.5804951378344794,0.63,0.0,17.61,676,1.2872633136094673,2.1799859452928447,0.59,0.0,22.94,0.5018297651494825
Total absence %,419,7.231933174224343,5.512589187970771,6.29,0.0,58.49,676,10.295710059171597,10.747151020183189,6.47,0.0,107.65,-3.063776884947254
