outcome_name,outcome,model,estimate,std_error,t_value,p_value,conf_low,conf_high,jes_weighted_mean,jmtes_weighted_mean,n,residual_df,p_value_formatted
unexcused_pct,Unexcused absence percentage,OW,-0.7595153713467155,0.3011699398624171,-2.5218830660645732,0.011672850390009487,-1.3498084534770531,-0.16922228921637805,6.682210210199176,5.922694838852494,1038,1036,0.012
unexcused_pct,Unexcused absence percentage,OW + covariates,-0.7769479014202536,0.2934209507552577,-2.647895112535115,0.00809946503442196,-1.3520529649005586,-0.2018428379399485,6.682210210199176,5.922694838852494,1038,1018,0.008
excused_pct,Excused absence percentage,OW,0.5951641825581532,0.13524151784092828,4.400750539181231,1.0787708968366563e-05,0.33009080758993375,0.8602375575263725,1.1566637020693364,1.7518278846274957,1038,1036,<0.001
excused_pct,Excused absence percentage,OW + covariates,0.6047919648223181,0.13405612163582048,4.511483380559882,6.4375828089652486e-06,0.34204196641610995,0.8675419632285263,1.1566637020693364,1.7518278846274957,1038,1018,<0.001
total_pct,Total absence percentage,OW,-0.1643511887885601,0.34550588282687567,-0.47568275088072043,0.6343004114593245,-0.8415427191292364,0.5128403415521161,7.838873912268512,7.674522723479989,1038,1036,0.634
total_pct,Total absence percentage,OW + covariates,-0.17215593659793665,0.3382947260036954,-0.5088933505751907,0.6108269810762271,-0.8352135995651797,0.49090172636930635,7.838873912268512,7.674522723479989,1038,1018,0.611
