outcome,model,estimate,std_error,t_value,p_value,conf_low,conf_high,p_value_formatted
Unexcused absence percentage,Overlap weighted,-2.771245158879969,0.4525228928836338,-6.123988868763363,9.12612748911113e-10,-3.6581900289318914,-1.884300288828047,<0.001
Unexcused absence percentage,Overlap weighted + covariates,-2.7712451588799683,0.44438657036389007,-6.236113653503769,4.4857525152892203e-10,-3.6422428367931925,-1.9002474809667438,<0.001
Excused absence percentage,Overlap weighted,0.531198894726217,0.14877122556586062,3.5705755108608463,0.00035619774833840404,0.23960729261713015,0.8227904968353037,<0.001
Excused absence percentage,Overlap weighted + covariates,0.5311988947262167,0.14654296304898534,3.6248679818808585,0.000289109099590116,0.24397468715020548,0.8184231023022279,<0.001
Total absence percentage,Overlap weighted,-2.240046264153751,0.4957447927661093,-4.518547238095947,6.226538272919877e-06,-3.211706057975325,-1.2683864703321768,<0.001
Total absence percentage,Overlap weighted + covariates,-2.240046264153751,0.48852900699150476,-4.585288144809596,4.5336076516897914e-06,-3.1975631178571002,-1.2825294104504015,<0.001
