subject,n_treated_total,n_matched,n_unmatched,caliper_points,mean_baseline_distance,matched_effect,sd_effect,se_effect,statistic,p_value,conf_low,conf_high
ELA,63,63,0,3.942509081868961,0.4603174603174603,6.0476190476190474,28.506042693542767,3.5914238014144746,1.6839057103862836,0.09219989258573347,-1.1352285552099017,13.230466650447998
Math,63,63,0,2.9918196637531675,0.31746031746031744,-1.4126984126984128,12.648645115042472,1.593579495062588,-0.8864938442515095,0.3753514698171929,-4.599857402823589,1.774460577426763
