subject,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n,df
ELA,treatment_post,-6.092071611253232,3.6143760310649555,-1.6855112912693362,0.09188996819421114,-13.176248632140545,0.9921054096340809,252,248
Math,treatment_post,-3.1192630898513016,4.675312025411585,-0.6671775216065289,0.5046587474965829,-12.282874659658008,6.044348479955405,250,246
Science,treatment_post,-0.37276214833764243,3.550741217731708,-0.1049815025877248,0.9163904864004608,-7.33221493509179,6.586690638416505,252,248
