subject,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n,df
ELA,treatment_post,-6.092071611253232,4.002085336621011,-1.5222243152857933,0.12795288452674392,-13.936158871030415,1.7520156485239502,252,248
Math,treatment_post,-3.1192630898513016,4.949187144744552,-0.6302576561817,0.5285260222468346,-12.819669893550623,6.58114371384802,250,246
Science,treatment_post,-0.37276214833764243,4.0531695468306985,-0.09196806203903238,0.9267234148207761,-8.316974460125811,7.5714501634505265,252,248
