subject,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n,df
ELA,treatment_post,2.735185185184946,3.5850189689619882,0.7629485949350209,0.44549405345640203,-4.291451993980551,9.761822364350444,336,332
Math,treatment_post,6.177777777777919,3.884621561723339,1.5903165030668431,0.11176348053424778,-1.4360804831998255,13.791636038755664,336,332
Science,treatment_post,0.03518518518512792,2.912531155115581,0.012080621051324559,0.9903612934265382,-5.67337587884141,5.743746249211666,336,332
