outcome,label,coefficient,robust_se,p_value,stars,odds_ratio,jes_weighted_probability,jmtes_weighted_probability,observations,events
any_school_referral,Any school referral,-0.8833739132031558,0.18118296066051032,1.0848347228812913e-06,***,0.4133858282837599,0.24974351226914962,0.12707070709898993,1093,223.0
any_bus_referral,Any bus referral,-1.2858140478272415,0.3382954929284111,0.00014419434494290258,***,0.27642546846515037,0.08823642357723394,0.027370185242869497,1093,70.0
any_referral,Any school or bus referral,-0.8930992405384562,0.17246707188667545,2.238265010569759e-07,***,0.40938500199435773,0.28379595163767807,0.14629178330575557,1093,253.0
